trade_time,open,high,low,close,vol,amount
2022-10-17 09:30:00,1726.0,1726.0,1726.0,1726.0,0.0,0.0
2022-10-17 09:31:00,1721.25,1721.25,1721.25,1721.25,0.0,0.0
2022-10-17 09:32:00,1720.84,1720.84,1720.84,1720.84,0.0,0.0
2022-10-17 09:33:00,1718.94,1718.94,1718.94,1718.94,0.0,0.0
2022-10-17 09:34:00,1720.0,1720.0,1720.0,1720.0,0.0,0.0
2022-10-17 09:35:00,1727.78,1727.78,1727.78,1727.78,0.0,0.0
2022-10-17 09:36:00,1720.1,1720.1,1720.1,1720.1,0.0,0.0
2022-10-17 09:37:00,1719.94,1719.94,1719.94,1719.94,0.0,0.0
2022-10-17 09:38:00,1719.0,1719.0,1719.0,1719.0,0.0,0.0
2022-10-17 09:39:00,1718.08,1718.08,1718.08,1718.08,0.0,0.0
2022-10-17 09:40:00,1720.01,1720.01,1720.01,1720.01,0.0,0.0
2022-10-17 09:41:00,1716.0,1716.0,1716.0,1716.0,0.0,0.0
2022-10-17 09:42:00,1710.5,1710.5,1710.5,1710.5,0.0,0.0
2022-10-17 09:43:00,1706.66,1706.66,1706.66,1706.66,0.0,0.0
2022-10-17 09:44:00,1703.5,1703.5,1703.5,1703.5,0.0,0.0
2022-10-17 09:45:00,1703.09,1703.09,1703.09,1703.09,0.0,0.0
2022-10-17 09:46:00,1707.0,1707.0,1707.0,1707.0,0.0,0.0
2022-10-17 09:47:00,1706.0,1706.0,1706.0,1706.0,0.0,0.0
2022-10-17 09:48:00,1704.43,1704.43,1704.43,1704.43,0.0,0.0
2022-10-17 09:49:00,1706.0,1706.0,1706.0,1706.0,0.0,0.0
2022-10-17 09:50:00,1710.0,1710.0,1710.0,1710.0,0.0,0.0
2022-10-17 09:51:00,1709.89,1709.89,1709.89,1709.89,0.0,0.0
2022-10-17 09:52:00,1707.86,1707.86,1707.86,1707.86,0.0,0.0
2022-10-17 09:53:00,1705.99,1705.99,1705.99,1705.99,0.0,0.0
2022-10-17 09:54:00,1704.43,1704.43,1704.43,1704.43,0.0,0.0
2022-10-17 09:55:00,1704.11,1704.11,1704.11,1704.11,0.0,0.0
2022-10-17 09:56:00,1702.22,1702.22,1702.22,1702.22,0.0,0.0
2022-10-17 09:57:00,1700.15,1700.15,1700.15,1700.15,0.0,0.0
2022-10-17 09:58:00,1700.01,1700.01,1700.01,1700.01,0.0,0.0
2022-10-17 09:59:00,1700.01,1700.01,1700.01,1700.01,0.0,0.0
2022-10-17 10:00:00,1698.49,1698.49,1698.49,1698.49,0.0,0.0
2022-10-17 10:01:00,1698.45,1698.45,1698.45,1698.45,0.0,0.0
2022-10-17 10:02:00,1700.13,1700.13,1700.13,1700.13,0.0,0.0
2022-10-17 10:03:00,1704.02,1704.02,1704.02,1704.02,0.0,0.0
2022-10-17 10:04:00,1703.51,1703.51,1703.51,1703.51,0.0,0.0
2022-10-17 10:05:00,1701.03,1701.03,1701.03,1701.03,0.0,0.0
2022-10-17 10:06:00,1702.42,1702.42,1702.42,1702.42,0.0,0.0
2022-10-17 10:07:00,1704.22,1704.22,1704.22,1704.22,0.0,0.0
2022-10-17 10:08:00,1705.93,1705.93,1705.93,1705.93,0.0,0.0
2022-10-17 10:09:00,1704.0,1704.0,1704.0,1704.0,0.0,0.0
2022-10-17 10:10:00,1705.0,1705.0,1705.0,1705.0,0.0,0.0
2022-10-17 10:11:00,1703.01,1703.01,1703.01,1703.01,0.0,0.0
2022-10-17 10:12:00,1704.65,1704.65,1704.65,1704.65,0.0,0.0
2022-10-17 10:13:00,1703.4,1703.4,1703.4,1703.4,0.0,0.0
2022-10-17 10:14:00,1705.34,1705.34,1705.34,1705.34,0.0,0.0
2022-10-17 10:15:00,1703.28,1703.28,1703.28,1703.28,0.0,0.0
2022-10-17 10:16:00,1703.22,1703.22,1703.22,1703.22,0.0,0.0
2022-10-17 10:17:00,1703.21,1703.21,1703.21,1703.21,0.0,0.0
2022-10-17 10:18:00,1703.2,1703.2,1703.2,1703.2,0.0,0.0
2022-10-17 10:19:00,1702.36,1702.36,1702.36,1702.36,0.0,0.0
2022-10-17 10:20:00,1700.0,1700.0,1700.0,1700.0,0.0,0.0
2022-10-17 10:21:00,1699.9,1699.9,1699.9,1699.9,0.0,0.0
2022-10-17 10:22:00,1699.49,1699.49,1699.49,1699.49,0.0,0.0
2022-10-17 10:23:00,1701.58,1701.58,1701.58,1701.58,0.0,0.0
2022-10-17 10:24:00,1702.01,1702.01,1702.01,1702.01,0.0,0.0
2022-10-17 10:25:00,1701.11,1701.11,1701.11,1701.11,0.0,0.0
2022-10-17 10:26:00,1702.02,1702.02,1702.02,1702.02,0.0,0.0
2022-10-17 10:27:00,1701.96,1701.96,1701.96,1701.96,0.0,0.0
2022-10-17 10:28:00,1702.0,1702.0,1702.0,1702.0,0.0,0.0
2022-10-17 10:29:00,1700.03,1700.03,1700.03,1700.03,0.0,0.0
2022-10-17 10:30:00,1700.0,1700.0,1700.0,1700.0,0.0,0.0
2022-10-17 10:31:00,1700.1,1700.1,1700.1,1700.1,0.0,0.0
2022-10-17 10:32:00,1701.1,1701.1,1701.1,1701.1,0.0,0.0
2022-10-17 10:33:00,1701.01,1701.01,1701.01,1701.01,0.0,0.0
2022-10-17 10:34:00,1701.1,1701.1,1701.1,1701.1,0.0,0.0
2022-10-17 10:35:00,1702.07,1702.07,1702.07,1702.07,0.0,0.0
2022-10-17 10:36:00,1701.0,1701.0,1701.0,1701.0,0.0,0.0
2022-10-17 10:37:00,1701.5,1701.5,1701.5,1701.5,0.0,0.0
2022-10-17 10:38:00,1702.0,1702.0,1702.0,1702.0,0.0,0.0
2022-10-17 10:39:00,1702.34,1702.34,1702.34,1702.34,0.0,0.0
2022-10-17 10:40:00,1701.53,1701.53,1701.53,1701.53,0.0,0.0
2022-10-17 10:41:00,1704.0,1704.0,1704.0,1704.0,0.0,0.0
2022-10-17 10:42:00,1705.0,1705.0,1705.0,1705.0,0.0,0.0
2022-10-17 10:43:00,1705.88,1705.88,1705.88,1705.88,0.0,0.0
2022-10-17 10:44:00,1706.9,1706.9,1706.9,1706.9,0.0,0.0
2022-10-17 10:45:00,1706.12,1706.12,1706.12,1706.12,0.0,0.0
2022-10-17 10:46:00,1706.0,1706.0,1706.0,1706.0,0.0,0.0
2022-10-17 10:47:00,1706.0,1706.0,1706.0,1706.0,0.0,0.0
2022-10-17 10:48:00,1707.36,1707.36,1707.36,1707.36,0.0,0.0
2022-10-17 10:49:00,1708.96,1708.96,1708.96,1708.96,0.0,0.0
2022-10-17 10:50:00,1710.01,1710.01,1710.01,1710.01,0.0,0.0
2022-10-17 10:51:00,1710.0,1710.0,1710.0,1710.0,0.0,0.0
2022-10-17 10:52:00,1710.01,1710.01,1710.01,1710.01,0.0,0.0
2022-10-17 10:53:00,1710.89,1710.89,1710.89,1710.89,0.0,0.0
2022-10-17 10:54:00,1710.0,1710.0,1710.0,1710.0,0.0,0.0
2022-10-17 10:55:00,1710.07,1710.07,1710.07,1710.07,0.0,0.0
2022-10-17 10:56:00,1709.97,1709.97,1709.97,1709.97,0.0,0.0
2022-10-17 10:57:00,1710.91,1710.91,1710.91,1710.91,0.0,0.0
2022-10-17 10:58:00,1710.87,1710.87,1710.87,1710.87,0.0,0.0
2022-10-17 10:59:00,1709.88,1709.88,1709.88,1709.88,0.0,0.0
2022-10-17 11:00:00,1709.0,1709.0,1709.0,1709.0,0.0,0.0
2022-10-17 11:01:00,1707.37,1707.37,1707.37,1707.37,0.0,0.0
2022-10-17 11:02:00,1709.1,1709.1,1709.1,1709.1,0.0,0.0
2022-10-17 11:03:00,1710.03,1710.03,1710.03,1710.03,0.0,0.0
2022-10-17 11:04:00,1711.73,1711.73,1711.73,1711.73,0.0,0.0
2022-10-17 11:05:00,1711.99,1711.99,1711.99,1711.99,0.0,0.0
2022-10-17 11:06:00,1710.0,1710.0,1710.0,1710.0,0.0,0.0
2022-10-17 11:07:00,1712.0,1712.0,1712.0,1712.0,0.0,0.0
2022-10-17 11:08:00,1713.88,1713.88,1713.88,1713.88,0.0,0.0
2022-10-17 11:09:00,1715.0,1715.0,1715.0,1715.0,0.0,0.0
2022-10-17 11:10:00,1714.99,1714.99,1714.99,1714.99,0.0,0.0
2022-10-17 11:11:00,1715.25,1715.25,1715.25,1715.25,0.0,0.0
2022-10-17 11:12:00,1715.0,1715.0,1715.0,1715.0,0.0,0.0
2022-10-17 11:13:00,1712.0,1712.0,1712.0,1712.0,0.0,0.0
2022-10-17 11:14:00,1712.0,1712.0,1712.0,1712.0,0.0,0.0
2022-10-17 11:15:00,1710.55,1710.55,1710.55,1710.55,0.0,0.0
2022-10-17 11:16:00,1711.0,1711.0,1711.0,1711.0,0.0,0.0
2022-10-17 11:17:00,1711.58,1711.58,1711.58,1711.58,0.0,0.0
2022-10-17 11:18:00,1711.0,1711.0,1711.0,1711.0,0.0,0.0
2022-10-17 11:19:00,1712.06,1712.06,1712.06,1712.06,0.0,0.0
2022-10-17 11:20:00,1711.43,1711.43,1711.43,1711.43,0.0,0.0
2022-10-17 11:21:00,1711.03,1711.03,1711.03,1711.03,0.0,0.0
2022-10-17 11:22:00,1712.0,1712.0,1712.0,1712.0,0.0,0.0
2022-10-17 11:23:00,1715.24,1715.24,1715.24,1715.24,0.0,0.0
2022-10-17 11:24:00,1711.81,1711.81,1711.81,1711.81,0.0,0.0
2022-10-17 11:25:00,1712.0,1712.0,1712.0,1712.0,0.0,0.0
2022-10-17 11:26:00,1712.8,1712.8,1712.8,1712.8,0.0,0.0
2022-10-17 11:27:00,1712.8,1712.8,1712.8,1712.8,0.0,0.0
2022-10-17 11:28:00,1712.14,1712.14,1712.14,1712.14,0.0,0.0
2022-10-17 11:29:00,1711.81,1711.81,1711.81,1711.81,0.0,0.0
2022-10-17 11:30:00,1711.39,1711.39,1711.39,1711.39,0.0,0.0
2022-10-17 13:01:00,1711.4,1711.4,1711.4,1711.4,0.0,0.0
2022-10-17 13:02:00,1712.0,1712.0,1712.0,1712.0,0.0,0.0
2022-10-17 13:03:00,1711.02,1711.02,1711.02,1711.02,0.0,0.0
2022-10-17 13:04:00,1710.03,1710.03,1710.03,1710.03,0.0,0.0
2022-10-17 13:05:00,1711.0,1711.0,1711.0,1711.0,0.0,0.0
2022-10-17 13:06:00,1706.19,1706.19,1706.19,1706.19,0.0,0.0
2022-10-17 13:07:00,1706.2,1706.2,1706.2,1706.2,0.0,0.0
2022-10-17 13:08:00,1706.02,1706.02,1706.02,1706.02,0.0,0.0
2022-10-17 13:09:00,1706.66,1706.66,1706.66,1706.66,0.0,0.0
2022-10-17 13:10:00,1709.98,1709.98,1709.98,1709.98,0.0,0.0
2022-10-17 13:11:00,1709.58,1709.58,1709.58,1709.58,0.0,0.0
2022-10-17 13:12:00,1709.0,1709.0,1709.0,1709.0,0.0,0.0
2022-10-17 13:13:00,1708.99,1708.99,1708.99,1708.99,0.0,0.0
2022-10-17 13:14:00,1708.99,1708.99,1708.99,1708.99,0.0,0.0
2022-10-17 13:15:00,1708.09,1708.09,1708.09,1708.09,0.0,0.0
2022-10-17 13:16:00,1706.07,1706.07,1706.07,1706.07,0.0,0.0
2022-10-17 13:17:00,1706.95,1706.95,1706.95,1706.95,0.0,0.0
2022-10-17 13:18:00,1708.73,1708.73,1708.73,1708.73,0.0,0.0
2022-10-17 13:19:00,1709.95,1709.95,1709.95,1709.95,0.0,0.0
2022-10-17 13:20:00,1708.19,1708.19,1708.19,1708.19,0.0,0.0
2022-10-17 13:21:00,1708.31,1708.31,1708.31,1708.31,0.0,0.0
2022-10-17 13:22:00,1710.0,1710.0,1710.0,1710.0,0.0,0.0
2022-10-17 13:23:00,1709.94,1709.94,1709.94,1709.94,0.0,0.0
2022-10-17 13:24:00,1710.1,1710.1,1710.1,1710.1,0.0,0.0
2022-10-17 13:25:00,1711.0,1711.0,1711.0,1711.0,0.0,0.0
2022-10-17 13:26:00,1711.02,1711.02,1711.02,1711.02,0.0,0.0
2022-10-17 13:27:00,1711.39,1711.39,1711.39,1711.39,0.0,0.0
2022-10-17 13:28:00,1711.99,1711.99,1711.99,1711.99,0.0,0.0
2022-10-17 13:29:00,1711.01,1711.01,1711.01,1711.01,0.0,0.0
2022-10-17 13:30:00,1709.0,1709.0,1709.0,1709.0,0.0,0.0
2022-10-17 13:31:00,1709.82,1709.82,1709.82,1709.82,0.0,0.0
2022-10-17 13:32:00,1709.92,1709.92,1709.92,1709.92,0.0,0.0
2022-10-17 13:33:00,1709.76,1709.76,1709.76,1709.76,0.0,0.0
2022-10-17 13:34:00,1711.0,1711.0,1711.0,1711.0,0.0,0.0
2022-10-17 13:35:00,1711.98,1711.98,1711.98,1711.98,0.0,0.0
