trade_time,close,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,Residue
2022-10-17 09:30:00,11059.23,-15.898204653898643,-6.21253388885704,-12.252676800936372,-1.5513003784145103,10.381798322887732,-1.2954204783610939,7.870359482683601,-43.30766118916732,-25.249441914070843,230.38852997087244,-111.63824697934629,11027.994798506608
2022-10-17 09:31:00,11070.66,-5.29511908713871,-7.040844899510683,-12.089506381239001,-1.021673698992518,11.371501148428553,-1.364718196871659,8.02466290234657,-43.44425711711701,-25.33319319981297,230.50915035484996,-111.65109710264193,11027.995095277698
2022-10-17 09:32:00,11098.23,-1.4231946046638553,8.112502012327685,-5.930193550280312,0.5014722444312676,12.282449067946112,-1.453402310763193,8.17436718423,-43.57922721035061,-25.415419505885318,230.6292069114133,-111.66395450618354,11027.995394267777
2022-10-17 09:33:00,11107.54,5.54641128184102,-2.4899930718887466,4.054545027695647,2.717450863769576,13.09467964476502,-1.5612649897949629,8.319300765767684,-43.712592555678604,-25.496112589147288,230.7486993388386,-111.67681919269033,11027.995695476524
2022-10-17 09:34:00,11127.42,-5.90564988174129,19.559566632539408,10.241216162717201,5.21302456407222,13.785638304068708,-1.6873216958832962,8.459226057201235,-43.84437101065863,-25.575264215106984,230.86762734408205,-111.68969116493398,11027.995998903643
2022-10-17 09:35:00,11119.1,15.55961939173054,-11.73581279271759,8.994787538728803,7.533013136482473,14.331691577924833,-1.829448488168431,8.593866619096282,-43.97457561106401,-25.65286613129984,230.98599063611076,-111.70257042565171,11027.996304548828
2022-10-17 09:36:00,11100.93,-9.272048839777472,-2.3368233055683905,4.2933617601026,9.24579797816592,14.70888233302018,-1.9849010500512225,8.722910104604214,-44.103213349492464,-25.728909990713728,231.10378892552004,-111.71545697757256,11027.996612411764
2022-10-17 09:37:00,11108.43,-3.0763463766070176,0.6743381533570222,1.7598894035127,10.028084073151302,14.89294312367913,-2.150862614089078,8.846037607088562,-44.23028958702859,-25.803387377501753,231.22102192573618,-111.72835082344851,11027.99692249215
2022-10-17 09:38:00,11116.61,14.968373889473506,-10.364759570258657,3.376281804676439,9.76640838693991,14.863837744094502,-2.3246396811781396,8.96292403370007,-44.35580884450183,-25.876289925630882,231.33768933903602,-111.74125196602667,11027.997234789675
2022-10-17 09:39:00,11121.93,4.529074875827325,2.7718227764840817,7.661208481054804,8.523310316097234,14.605162601106713,-2.503604825888588,9.073228062526752,-44.4797726559844,-25.94760939916175,231.4537908719518,-111.75416040805244,11027.99754930404
2022-10-17 09:40:00,11123.59,-1.0776235490624493,9.325796242189405,11.087733883586928,6.475392020126342,14.106541268215171,-2.6850361809888574,9.176596285390806,-44.60217847095619,-26.017337614183578,231.56932623301856,-111.76707615226144,11027.997866034924
2022-10-17 09:41:00,11101.09,-7.237270268230988,-2.1976802604906416,9.750900813146735,3.9067453311417113,13.3667569582302,-2.86610768969001,9.272659624148393,-44.72301900960825,-26.085466410056927,231.68429513077461,-111.77999920140236,11027.998184982038
2022-10-17 09:42:00,11105.52,7.299039197580198,-2.0985022303793492,3.3951130570533965,1.2077655166894865,12.389471377345432,-3.0439330186010722,9.361044778195046,-44.84228490246227,-26.151987636011796,231.79869727374353,-111.79292955820917,11027.998506145057
2022-10-17 09:43:00,11088.27,-4.922064103687329,5.176461532309545,-5.112491961900391,-1.2082037880116887,11.18169322678451,-3.2153985583206417,9.441367306569848,-44.95996516029068,-26.216893162186892,231.91253237048986,-111.80586722544206,11027.998829523687
2022-10-17 09:44:00,11076.88,3.130741914415043,-4.188259247417018,-11.806056557099758,-2.9975597308691495,9.755370606752537,-3.377392503467881,9.51323513878571,-45.0760477539824,-26.28017490626743,232.02580012737337,-111.81881220584157,11027.999155117619
2022-10-17 09:45:00,11066.25,0.8143663747724619,-8.139035031973775,-13.44742672337666,-3.932746700235433,8.131583102044274,-3.526878283510963,9.576262350520416,-45.19051879924139,-26.341824955605393,232.13850024220693,-111.83176450213011,11027.99948292653
2022-10-17 09:46:00,11072.93,3.1754385695577008,-6.102308103075981,-9.256150113888818,-3.8960069436501312,6.3394574483772095,-3.6610235239743867,9.630070303881965,-45.30336344103337,-26.401835439876198,232.2506324106182,-111.84472411707614,11027.99981295014
2022-10-17 09:47:00,11081.41,0.08409588837781741,-1.3948110398164606,-1.2110529075542564,-3.009753331719375,4.414429807295964,-3.77707072674252,9.674274646307284,-45.414564280584585,-26.460198514931403,232.3621963246565,-111.8576910534103,11028.000145188122
2022-10-17 09:48:00,11092.02,5.691631153085725,-3.5700442987057555,6.693407146501043,-1.587100277907341,2.3936852706329104,-3.872064105022537,9.708485149475171,-45.52409958508184,-26.516906442809073,232.47319166354094,-111.87066531387968,11028.000479640172
2022-10-17 09:49:00,11090.27,-11.43251600035443,8.130646728657949,10.978712038072539,-0.008260658729217893,0.31538829395690837,-3.943189656274348,9.732325616759761,-45.631942337353365,-26.571951536144834,232.58361810664843,-111.88364690122643,11028.000816305987
2022-10-17 09:50:00,11099.62,9.872916261178359,-3.214204264180745,11.201023075880897,1.349866127309784,-1.781965690690809,-3.9876812309617438,9.745439532392252,-45.738062305314564,-26.625326193786957,232.6934753211073,-111.89663581819927,11028.001155185266
2022-10-17 09:51:00,11087.99,-2.274915941865007,1.6841913179594867,8.089326724487037,2.226150169234334,-3.8545792786219275,-4.002841837397641,9.747491803435562,-45.84242722405901,-26.677022902848503,232.8027629595219,-111.90963206753213,11028.001496277686
2022-10-17 09:52:00,11090.43,-0.05602030638659502,8.568453730245603,3.2136725456578388,2.485482630095345,-5.85233674724495,-3.9860311391706342,9.738131326154662,-45.94500239560935,-26.727034239316826,232.91148066460087,-111.92263565198525,11028.00183958296
2022-10-17 09:53:00,11070.59,5.1576805782781845,-10.220648505527596,-0.7916482576070374,2.1192049359906293,-7.721820161127956,-3.934854180676322,9.717024603548223,-46.045752804173006,-26.775352817083093,233.0196280818968,-111.9356465742827,11028.002185100764
2022-10-17 09:54:00,11064.99,-11.314332894337348,5.174195090271343,-2.735437321433232,1.2263756373544508,-9.412120373835599,-3.846989106564023,9.683851374292606,-46.14464399958168,-26.821971266765757,233.12720486697796,-111.94866483717648,11028.002532830797
2022-10-17 09:55:00,11078.65,9.984430472371928,-0.002838352263369855,-2.511338365219432,-0.026074841139879602,-10.879113551383627,-3.720247902186394,9.638305080064361,-46.241643282200094,-26.866882266909325,233.23421067952344,-111.9616904434104,11028.002882772751
2022-10-17 09:56:00,11069.15,-3.8955594397598343,6.915712837131059,-2.516442042400478,-1.4226568372654604,-12.080406213595964,-3.55312884225097,9.580121240197188,-46.336718768271076,-26.91007864490836,233.3406451805349,-111.97472339573319,11028.003234926322
2022-10-17 09:57:00,11064.42,-0.07743786742400796,1.0053510551854312,-3.047370193589712,-2.731743974017479,-12.974015137690316,-3.3448337845164335,9.509108217814182,-46.42983844470776,-26.951553475192615,233.44650800981282,-111.98776369687056,11028.003589291196
2022-10-17 09:58:00,11065.39,4.731197887147943,-1.2161420883774658,-3.2256116007324223,-3.7482000007401757,-13.52401277719669,-3.095012819237257,9.425117877776119,-46.52096922872115,-26.99130057062103,233.55179880321126,-112.00081134958603,11028.003945867076
2022-10-17 09:59:00,11070.6,9.662618868884287,-0.8412209865988391,-2.739813523966535,-4.303903459982158,-13.708865436874659,-2.8044144976128305,9.32803381170987,-46.61007620044796,-27.02931407579377,233.65651720364585,-112.01386635661517,11028.004304653652
2022-10-17 10:00:00,11063.53,-4.695785420356032,5.143357554206872,-1.8001537630944604,-4.323066414874152,-13.5130215251496,-2.474809964000812,9.217789437634483,-46.69712143535253,-27.065588252257477,233.7606628533323,-112.02692872069684,11028.00466565061
2022-10-17 10:01:00,11059.97,-6.603422367787237,1.393085582443547,-1.0047470343257492,-3.8177494960476177,-12.929379673474068,-2.109216044081462,9.094344869674043,-46.78206396850651,-27.10011766549076,233.8642353845363,-112.03999844459292,11028.005028857653
2022-10-17 10:02:00,11066.4,6.672935738094692,-8.440328205263318,-0.0993957000773582,-2.940841086360763,-11.960819373167245,-1.7110307096582047,8.957684490308429,-46.86486128335236,-27.132897040983128,233.96723442701978,-112.05307553102749,11028.005394274467
2022-10-17 10:03:00,11076.16,2.8619050626243934,0.2969958176963558,2.1244905764707154,-1.924258932102285,-10.623302051339873,-1.2835283714590895,8.807824248325826,-46.94546636049219,-27.163921516222153,234.06965960849402,-112.06615998273777,11028.005761900742
2022-10-17 10:04:00,11087.7,9.84706133474312,-0.8867553117673194,4.990845242993848,-0.997778201156494,-8.949396944997293,-0.8301676494684257,8.644815081544325,-47.023827568860995,-27.1931864651054,234.17151054838652,-112.07925180249056,11028.00613173618
2022-10-17 10:05:00,11084.5,-3.5183824196928906,5.080548882650067,6.268746971832919,-0.32320362875761993,-6.988046408229095,-0.3547893682364292,8.468763913410703,-47.099889978364736,-27.22068761611909,234.2727868640594,-112.09235099302143,11028.006503780469
2022-10-17 10:06:00,11082.71,-2.5390589274238464,0.7181210595943291,5.050389091495041,0.006839448280558233,-4.79961635170448,0.13862167613972054,8.27981139048364,-47.17359521988602,-27.246420813803784,234.3734881705862,-112.10545755706433,11028.006878033304
2022-10-17 10:07:00,11081.38,-8.23297428633989,5.82999724328781,1.6617076451485926,-0.00026650681925318126,-2.449815154962159,0.6461984353663269,8.078119440655863,-47.244881951734165,-27.27038193552041,234.47361407390864,-112.11857149736962,11028.007254494378
2022-10-17 10:08:00,11082.26,3.030843293718716,-2.5213999231496516,-2.8800928738014404,-0.22971588422882344,-0.010804685519326129,1.1644471313653968,7.863872028722998,-47.313686676003094,-27.292566935508738,234.57316417770278,-112.1316928166778,11028.007633163379
2022-10-17 10:09:00,11080.85,5.323096732842877,-4.904120981618311,-6.712137693772693,-0.46605853176461254,2.439779880057822,1.6897516652988398,7.637274106822835,-47.37994387519093,-27.312971908104746,234.67213808316376,-112.14482151773761,11028.008014040002
2022-10-17 10:10:00,11080.49,-1.5384225995043648,0.13159786026621545,-7.906298439399251,-0.4829136933160849,4.8233261093567155,2.2183659550493964,7.398548105780365,-47.44358504500738,-27.331593155504127,234.77053538162227,-112.15795760329284,11028.008397123947
2022-10-17 10:11:00,11081.42,-6.133154935739031,1.1209067604044483,-6.278341156145977,-0.10170558796197643,7.064866541008445,2.746438860243795,7.147918897724502,-47.504539255811665,-27.34842712395181,234.86835566141696,-112.17110107609713,11028.008782414909
2022-10-17 10:12:00,11092.73,1.2235474189716102,-2.3226673822034076,-2.0062390227314775,0.7157902864876532,9.099609295783466,3.2700319752704226,6.8856153655864665,-47.56273403677005,-27.36347037449016,234.96559850039452,-112.18425193885815,11028.009169912559
2022-10-17 10:13:00,11099.77,-5.893345158636126,3.3804367841753784,3.3157593004693102,1.8158239803292369,10.87497517014065,3.784884418774018,6.611870292745014,-47.618097919064695,-27.376719733961327,235.06226344276618,-112.19741019434598,11028.009559616608
2022-10-17 10:14:00,11112.27,10.372739554337281,-7.537626057630752,7.64408323733518,2.932764589602523,12.346125324351636,4.285995475974344,6.326924343923012,-47.670560090421866,-27.38817208125086,235.15835002234147,-112.21057584531262,11028.009951526752
2022-10-17 10:15:00,11116.67,-4.379146491404214,7.868325324881838,9.189260139300172,3.797522283996058,13.471941132526243,4.7684841335736206,6.031033447924869,-47.72004994579502,-27.397824539631,235.25385776643517,-112.22374889448216,11028.010345642675
2022-10-17 10:16:00,11120.52,-4.630542374475316,11.956177468650269,7.82874916497047,4.242360192212129,14.220292648278175,5.228070859367018,5.724464481364397,-47.766496634278795,-27.40567460542988,235.34878617987937,-112.23692934460986,11028.010741964074
2022-10-17 10:17:00,11108.24,8.403975171823948,-10.910949831775183,4.929851061177145,4.187023660001959,14.5794830791187,5.66049785792744,5.407509897730323,-47.809829026768355,-27.41171988823523,235.44313472679116,-112.25011719843135,11028.011140490638
2022-10-17 10:18:00,11110.3,1.5712178553578036,1.7285823176303177,1.6549752796077195,3.628870213063015,14.555138891148172,6.06154154400273,5.080476500228981,-47.849976265610586,-27.415957929766094,235.53690283096867,-112.26331245869206,11028.01154122206
2022-10-17 10:19:00,11109.43,-5.674903357805944,12.793105487615032,-1.7927007389575875,2.707045241831222,14.166374140638787,6.427140549955215,4.743674101715717,-47.88686803076365,-27.41838631961829,235.6300898954903,-112.27651512814232,11028.011944158043
2022-10-17 10:20:00,11097.7,2.243259392939494,-2.205808034305187,-4.738639716767319,1.7011024090545022,13.442782609994628,6.75400717707947,4.39741321819839,-47.92043351197472,-27.419002965533117,235.72269533256446,-112.28972520951774,11028.012349298268
2022-10-17 10:21:00,11091.22,5.967814645981737,-9.151820592143743,-6.178291008569711,0.9235303445576438,12.420636011302959,7.039998425317177,4.042006865352751,-47.95060085312036,-27.417806327733896,235.81471855218322,-112.30294270556703,11028.012756642438
