trade_time,open,high,low,close,vol,amount
2022-10-17 09:30:00,11059.23,11059.23,11059.23,11059.23,0.0,0.0
2022-10-17 09:31:00,11070.66,11070.66,11070.66,11070.66,0.0,0.0
2022-10-17 09:32:00,11098.23,11098.23,11098.23,11098.23,0.0,0.0
2022-10-17 09:33:00,11107.54,11107.54,11107.54,11107.54,0.0,0.0
2022-10-17 09:34:00,11127.42,11127.42,11127.42,11127.42,0.0,0.0
2022-10-17 09:35:00,11119.1,11119.1,11119.1,11119.1,0.0,0.0
2022-10-17 09:36:00,11100.93,11100.93,11100.93,11100.93,0.0,0.0
2022-10-17 09:37:00,11108.43,11108.43,11108.43,11108.43,0.0,0.0
2022-10-17 09:38:00,11116.61,11116.61,11116.61,11116.61,0.0,0.0
2022-10-17 09:39:00,11121.93,11121.93,11121.93,11121.93,0.0,0.0
2022-10-17 09:40:00,11123.59,11123.59,11123.59,11123.59,0.0,0.0
2022-10-17 09:41:00,11101.09,11101.09,11101.09,11101.09,0.0,0.0
2022-10-17 09:42:00,11105.52,11105.52,11105.52,11105.52,0.0,0.0
2022-10-17 09:43:00,11088.27,11088.27,11088.27,11088.27,0.0,0.0
2022-10-17 09:44:00,11076.88,11076.88,11076.88,11076.88,0.0,0.0
2022-10-17 09:45:00,11066.25,11066.25,11066.25,11066.25,0.0,0.0
2022-10-17 09:46:00,11072.93,11072.93,11072.93,11072.93,0.0,0.0
2022-10-17 09:47:00,11081.41,11081.41,11081.41,11081.41,0.0,0.0
2022-10-17 09:48:00,11092.02,11092.02,11092.02,11092.02,0.0,0.0
2022-10-17 09:49:00,11090.27,11090.27,11090.27,11090.27,0.0,0.0
2022-10-17 09:50:00,11099.62,11099.62,11099.62,11099.62,0.0,0.0
2022-10-17 09:51:00,11087.99,11087.99,11087.99,11087.99,0.0,0.0
2022-10-17 09:52:00,11090.43,11090.43,11090.43,11090.43,0.0,0.0
2022-10-17 09:53:00,11070.59,11070.59,11070.59,11070.59,0.0,0.0
2022-10-17 09:54:00,11064.99,11064.99,11064.99,11064.99,0.0,0.0
2022-10-17 09:55:00,11078.65,11078.65,11078.65,11078.65,0.0,0.0
2022-10-17 09:56:00,11069.15,11069.15,11069.15,11069.15,0.0,0.0
2022-10-17 09:57:00,11064.42,11064.42,11064.42,11064.42,0.0,0.0
2022-10-17 09:58:00,11065.39,11065.39,11065.39,11065.39,0.0,0.0
2022-10-17 09:59:00,11070.6,11070.6,11070.6,11070.6,0.0,0.0
2022-10-17 10:00:00,11063.53,11063.53,11063.53,11063.53,0.0,0.0
